pond,lat,manual,granule_id,gtx,source
1,-72.9953199999995,1.8396240219852504,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99530999999949,1.855174019779572,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99529999999949,1.8710780188527816,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99528999999949,1.8878825958716916,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99527999999948,1.904113511801533,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99526999999948,1.9197902915180427,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99525999999948,1.9352973602411665,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99524999999947,1.9486893097647424,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99523999999947,1.9615564251152884,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99522999999947,1.9738013204382168,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99521999999946,1.9851699947058048,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99520999999946,1.9964193011557023,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99519999999946,2.0085543418730745,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99518999999945,2.021173799065032,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99517999999945,2.0330419062971816,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99516999999945,2.0442260822568943,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99515999999944,2.0553214085460647,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99514999999944,2.065893243621486,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99513999999944,2.0750869140177253,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99512999999943,2.0840886263193914,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99511999999943,2.091602896654556,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99510999999943,2.097908276361644,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99509999999943,2.103602329490509,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99508999999942,2.109133297723067,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
