DIST_green,Green_z_lit,Z_green,DIST_green_uncert,Z_green_min_stdev_mean,Z_green_max_stdev_mean,DIST_red,Red_z_lit,Z_red,Standard deviation,Mean,DIST_red_uncert,Z_red_min_stdev_mean,Z_red_max_stdev_mean,DIST_dem,DEM_zeroed,DIST_along_transect_corrected_IS2,Manual_depths_IS2,STD_high,STD_low,,green - dem,red - dem,average(g - dem),average(r - dem)
48.29813241,0.852719013,0.62038562,48.98614,0.069424726,1.153123023,48.29813241,0.357469738,0.260119021,0.118505775,0.261650999,48.98614,0.143145224,0.380156774,48.29813241,0.19885,1042.068796,3.555330558,3.712252988,3.398408129,,0.42153562,0.061269021,,
48.99810535,0.852719013,0.62038562,49.69608406,0.069424726,1.153123023,48.99810535,0.357469738,0.260119021,0.118505775,0.261650999,49.69608406,0.143145224,0.380156774,48.99810535,0.1910375,1057.171243,3.468713321,3.678831947,3.258594695,,0.42934812,0.069081521,,
49.69807828,0.852719013,0.62038562,50.40602811,0.069424726,1.153123023,49.69807828,0.357469738,0.260119021,0.118505775,0.261650999,50.40602811,0.143145224,0.380156774,49.69807828,0.1910375,1072.273689,3.403239044,3.643397506,3.163080581,,0.42934812,0.069081521,,
50.39805121,0.852719013,0.62038562,51.11597217,0.069424726,1.153123023,50.39805121,0.357469738,0.260119021,0.118505775,0.261650999,51.11597217,0.143145224,0.380156774,50.39805121,0.245725,1087.376135,3.403376174,3.58194769,3.224804659,,0.37466062,0.014394021,,
51.09802415,0.852719013,0.62038562,51.82591623,0.069424726,1.153123023,51.09802415,0.357469738,0.260119021,0.118505775,0.261650999,51.82591623,0.143145224,0.380156774,51.09802415,0.245725,1102.478582,3.41120713,3.530188532,3.292225728,,0.37466062,0.014394021,,
51.79799708,0.852719013,0.62038562,52.53586029,0.069424726,1.153123023,51.79799708,0.357469738,0.260119021,0.118505775,0.261650999,52.53586029,0.143145224,0.380156774,51.79799708,0.245725,1117.581028,3.353417089,3.484221864,3.222612313,,0.37466062,0.014394021,,
52.49797001,0.852719013,0.62038562,53.24580434,0.069424726,1.153123023,52.49797001,0.357469738,0.260119021,0.118505775,0.261650999,53.24580434,0.143145224,0.380156774,52.49797001,0.245725,1132.683474,3.306201396,3.439156147,3.173246645,,0.37466062,0.014394021,,
53.19794295,0.852719013,0.62038562,53.9557484,0.069424726,1.153123023,53.19794295,0.357469738,0.260119021,0.118505775,0.261650999,53.9557484,0.143145224,0.380156774,53.19794295,0.245725,1147.785921,3.251861768,3.386474131,3.117249405,,0.37466062,0.014394021,,
53.89791588,0.852719013,0.62038562,54.66569246,0.069424726,1.153123023,53.89791588,0.357469738,0.260119021,0.118505775,0.261650999,54.66569246,0.143145224,0.380156774,53.89791588,0.245725,1162.888367,3.181967942,3.337393988,3.026541896,,0.37466062,0.014394021,,
54.59788881,0.852719013,0.62038562,55.37563652,0.069424726,1.153123023,54.59788881,0.357469738,0.260119021,0.118505775,0.261650999,55.37563652,0.143145224,0.380156774,54.59788881,0.245725,1177.990813,3.117962181,3.282124502,2.953799859,,0.37466062,0.014394021,,
55.29786175,0.852719013,0.62038562,56.08558058,0.069424726,1.153123023,55.29786175,0.357469738,0.260119021,0.118505775,0.261650999,56.08558058,0.143145224,0.380156774,55.29786175,0.2535375,1193.09326,3.07495091,3.212785715,2.937116106,,0.36684812,0.006581521,,
55.99783468,0.852719013,0.62038562,56.79552463,0.069424726,1.153123023,55.99783468,0.357469738,0.260119021,0.118505775,0.261650999,56.79552463,0.143145224,0.380156774,55.99783468,0.2535375,1208.195706,3.033218712,3.147606239,2.918831185,,0.36684812,0.006581521,,
